Peak 1:,,,Peak 2:,
409.9419,0.4061,,410.0609,0.40535
409.942,0.40638,,410.061,0.40533
409.9421,0.40637,,410.0611,0.40564
409.9422,0.4066,,410.0612,0.40585
409.9423,0.40622,,410.0613,0.4055
409.9424,0.40647,,410.0614,0.40559
409.9425,0.40671,,410.0615,0.40533
409.9426,0.40625,,410.0616,0.40558
409.9427,0.40597,,410.0617,0.4056
409.9428,0.40642,,410.0618,0.40574
409.9429,0.40654,,410.0619,0.40533
409.943,0.40647,,410.062,0.40541
409.9431,0.40619,,410.0621,0.40588
409.9432,0.40636,,410.0622,0.40552
409.9433,0.40611,,410.0623,0.4056
409.9434,0.40638,,410.0624,0.40548
409.9435,0.40608,,410.0625,0.40554
409.9436,0.40599,,410.0626,0.40538
409.9437,0.40644,,410.0627,0.40565
409.9438,0.4065,,410.0628,0.40542
409.9439,0.40611,,410.0629,0.40572
409.944,0.40659,,410.063,0.40549
409.9441,0.40591,,410.0631,0.40613
409.9442,0.40627,,410.0632,0.40558
409.9443,0.40621,,410.0633,0.40561
409.9444,0.40603,,410.0634,0.40517
409.9445,0.40603,,410.0635,0.40527
409.9446,0.40605,,410.0636,0.40599
409.9447,0.40593,,410.0637,0.40586
409.9448,0.40631,,410.0638,0.40543
409.9449,0.40614,,410.0639,0.40566
409.945,0.40621,,410.064,0.4056
409.9451,0.40659,,410.0641,0.40558
409.9452,0.40596,,410.0642,0.40561
409.9453,0.40631,,410.0643,0.40548
409.9454,0.40627,,410.0644,0.40555
409.9455,0.40632,,410.0645,0.40549
409.9456,0.40605,,410.0646,0.40531
409.9457,0.4061,,410.0647,0.40569
409.9458,0.40591,,410.0648,0.40545
409.9459,0.40599,,410.0649,0.40563
409.946,0.40616,,410.065,0.40539
409.9461,0.40619,,410.0651,0.40555
409.9462,0.40657,,410.0652,0.40555
409.9463,0.40641,,410.0653,0.40563
409.9464,0.40626,,410.0654,0.4058
409.9465,0.40589,,410.0655,0.40583
409.9466,0.4063,,410.0656,0.4057
409.9467,0.40617,,410.0657,0.40531
409.9468,0.40621,,410.0658,0.40544
409.9469,0.40627,,410.0659,0.40567
409.947,0.40587,,410.066,0.40563
409.9471,0.40633,,410.0661,0.40532
409.9472,0.40628,,410.0662,0.40567
409.9473,0.40587,,410.0663,0.40555
409.9474,0.40621,,410.0664,0.4055
409.9475,0.40661,,410.0665,0.40537
409.9476,0.40599,,410.0666,0.40559
409.9477,0.40597,,410.0667,0.40549
409.9478,0.40621,,410.0668,0.40531
409.9479,0.40622,,410.0669,0.40542
409.948,0.40583,,410.067,0.40524
409.9481,0.40619,,410.0671,0.40537
409.9482,0.40624,,410.0672,0.40553
409.9483,0.40608,,410.0673,0.40553
409.9484,0.40627,,410.0674,0.40541
409.9485,0.40596,,410.0675,0.40535
409.9486,0.40598,,410.0676,0.40542
409.9487,0.40616,,410.0677,0.40574
409.9488,0.40593,,410.0678,0.40576
409.9489,0.40622,,410.0679,0.40539
409.949,0.40613,,410.068,0.40528
409.9491,0.40648,,410.0681,0.40538
409.9492,0.40617,,410.0682,0.40564
409.9493,0.40596,,410.0683,0.40536
409.9494,0.4062,,410.0684,0.4055
409.9495,0.40571,,410.0685,0.40526
409.9496,0.40643,,410.0686,0.40502
409.9497,0.40582,,410.0687,0.40558
409.9498,0.40577,,410.0688,0.4053
409.9499,0.40619,,410.0689,0.40521
409.95,0.40613,,410.069,0.40543
409.9501,0.40598,,410.0691,0.40531
409.9502,0.40585,,410.0692,0.40513
409.9503,0.40621,,410.0693,0.40533
409.9504,0.40643,,410.0694,0.40564
409.9505,0.40569,,410.0695,0.40565
409.9506,0.40641,,410.0696,0.4053
409.9507,0.40594,,410.0697,0.40554
409.9508,0.40583,,410.0698,0.40569
409.9509,0.40613,,410.0699,0.40524
409.951,0.40576,,410.07,0.40553
409.9511,0.40592,,410.0701,0.40535
409.9512,0.40599,,410.0702,0.40571
409.9513,0.4061,,410.0703,0.40554
409.9514,0.40599,,410.0704,0.40589
409.9515,0.40586,,410.0705,0.40547
409.9516,0.406,,410.0706,0.40541
409.9517,0.40617,,410.0707,0.40539
409.9518,0.40616,,410.0708,0.40559
409.9519,0.40583,,410.0709,0.40542
409.952,0.40586,,410.071,0.40556
409.9521,0.40641,,410.0711,0.40542
409.9522,0.40596,,410.0712,0.40533
409.9523,0.40574,,410.0713,0.40567
409.9524,0.40591,,410.0714,0.40569
409.9525,0.40587,,410.0715,0.40526
409.9526,0.40592,,410.0716,0.4055
409.9527,0.40628,,410.0717,0.40556
409.9528,0.40609,,410.0718,0.40547
409.9529,0.40619,,410.0719,0.40581
409.953,0.40604,,410.072,0.4052
409.9531,0.40604,,410.0721,0.40561
409.9532,0.40628,,410.0722,0.40532
409.9533,0.40575,,410.0723,0.40525
409.9534,0.40576,,410.0724,0.40569
409.9535,0.40594,,410.0725,0.40558
409.9536,0.40606,,410.0726,0.40545
409.9537,0.40625,,410.0727,0.40543
409.9538,0.40576,,410.0728,0.40511
409.9539,0.40599,,410.0729,0.40567
409.954,0.4061,,410.073,0.40515
409.9541,0.40599,,410.0731,0.40511
409.9542,0.40613,,410.0732,0.40531
409.9543,0.40598,,410.0733,0.40522
409.9544,0.40621,,410.0734,0.40587
409.9545,0.40631,,410.0735,0.40525
409.9546,0.40582,,410.0736,0.40558
409.9547,0.40611,,410.0737,0.40537
409.9548,0.40565,,410.0738,0.40552
409.9549,0.40603,,410.0739,0.40556
409.955,0.406,,410.074,0.40561
409.9551,0.40588,,,
409.9552,0.40564,,,
409.9553,0.4062,,,
409.9554,0.40605,,,
409.9555,0.40606,,,
409.9556,0.40566,,,
409.9557,0.40611,,,
409.9558,0.40588,,,
409.9559,0.40617,,,
409.956,0.40598,,,
409.9561,0.40622,,,
409.9562,0.40596,,,
409.9563,0.40625,,,
409.9564,0.40603,,,
409.9565,0.40559,,,
409.9566,0.40606,,,
409.9567,0.40591,,,
409.9568,0.40572,,,
409.9569,0.40632,,,
409.957,0.406,,,
409.9571,0.40611,,,
